Start time,Price polarity over interval,End time,News polarity at start time
1619019000000000000,1,1619022600000000000,1.0
1621438200000000000,1,1621441800000000000,0.0
1621517400000000000,1,1621521000000000000,1.0
1621521000000000000,0,1621524600000000000,1.0
1621535400000000000,1,1621539000000000000,0.0
1623263400000000000,0,1623267000000000000,1.0
1623785400000000000,0,1623789000000000000,1.0
1623954600000000000,0,1623958200000000000,1.0
1623958200000000000,0,1623961800000000000,0.0
1624303800000000000,0,1624307400000000000,1.0
1624455000000000000,1,1624458600000000000,1.0
1625081400000000000,0,1625085000000000000,0.0
1625232600000000000,1,1625236200000000000,0.0
1625679000000000000,1,1625682600000000000,1.0
1625686200000000000,1,1625689800000000000,0.0
1626280200000000000,0,1626283800000000000,1.0
1626287400000000000,0,1626291000000000000,1.0
1626291000000000000,0,1626294600000000000,0.0
1626456600000000000,0,1626460200000000000,1.0
1626463800000000000,1,1626467400000000000,1.0
1626982200000000000,0,1626985800000000000,1.0
1627068600000000000,0,1627072200000000000,0.0
1627399800000000000,0,1627403400000000000,0.0
1627410600000000000,1,1627414200000000000,1.0
1627587000000000000,1,1627590600000000000,0.0
1627659000000000000,1,1627662600000000000,0.0
1627666200000000000,0,1627669800000000000,1.0
1628011800000000000,1,1628015400000000000,1.0
1628087400000000000,1,1628091000000000000,0.0
1628706600000000000,1,1628710200000000000,1.0
1630517400000000000,0,1630521000000000000,1.0
1630521000000000000,0,1630524600000000000,0.0
1630524600000000000,0,1630528200000000000,1.0
1630603800000000000,0,1630607400000000000,1.0
1630607400000000000,1,1630611000000000000,1.0
1630686600000000000,1,1630690200000000000,0.0
1630693800000000000,1,1630697400000000000,1.0
1630697400000000000,1,1630701000000000000,1.0
1631817000000000000,1,1631820600000000000,1.0
1632162600000000000,0,1632166200000000000,0.0
1632331800000000000,1,1632335400000000000,0.0
1632335400000000000,1,1632339000000000000,0.0
1633372200000000000,0,1633375800000000000,1.0
1633458600000000000,0,1633462200000000000,0.0
1633613400000000000,1,1633617000000000000,1.0
1633617000000000000,1,1633620600000000000,1.0
1633717800000000000,1,1633721400000000000,0.0
1633966200000000000,1,1633969800000000000,0.0
1633973400000000000,1,1633977000000000000,1.0
1634225400000000000,1,1634229000000000000,0.0
1634229000000000000,0,1634232600000000000,1.0
1634837400000000000,1,1634841000000000000,1.0
1634916600000000000,1,1634920200000000000,1.0
1635435000000000000,1,1635438600000000000,0.0
1635438600000000000,0,1635442200000000000,0.0
1635442200000000000,0,1635445800000000000,0.0
1635525000000000000,1,1635528600000000000,0.0
1635780600000000000,1,1635784200000000000,1.0
1636036200000000000,0,1636039800000000000,1.0
1636043400000000000,0,1636047000000000000,1.0
1636054200000000000,1,1636057800000000000,0.0
1637001000000000000,0,1637004600000000000,1.0
1637346600000000000,1,1637350200000000000,1.0
1637613000000000000,0,1637616600000000000,1.0
1637771400000000000,0,1637775000000000000,1.0
1637775000000000000,1,1637778600000000000,1.0
1638210600000000000,0,1638214200000000000,1.0
1638300600000000000,0,1638304200000000000,1.0
1638549000000000000,0,1638552600000000000,1.0
1638822600000000000,0,1638826200000000000,1.0
1639161000000000000,0,1639164600000000000,1.0
1640107800000000000,1,1640111400000000000,0.0
1640190600000000000,0,1640194200000000000,1.0
1640795400000000000,0,1640799000000000000,0.0
1641234600000000000,1,1641238200000000000,0.0
1642105800000000000,0,1642109400000000000,1.0
1642613400000000000,0,1642617000000000000,1.0
1643394600000000000,0,1643398200000000000,0.0
1643398200000000000,1,1643401800000000000,1.0
1643657400000000000,0,1643661000000000000,0.0
1643743800000000000,1,1643747400000000000,1.0
1643815800000000000,0,1643819400000000000,0.0
1643988600000000000,0,1643992200000000000,0.0
1644863400000000000,0,1644867000000000000,1.0
1645115400000000000,0,1645119000000000000,0.0
1645558200000000000,1,1645561800000000000,1.0
1645644600000000000,0,1645648200000000000,1.0
1645813800000000000,1,1645817400000000000,1.0
1646325000000000000,0,1646328600000000000,0.0
1646332200000000000,0,1646335800000000000,1.0
1646422200000000000,0,1646425800000000000,1.0
